{'loss': 3.3286, 'grad_norm': 2.3629939556121826, 'learning_rate': 2e-05, 'epoch': 0.0}
{'loss': 2.8364, 'grad_norm': 1.9627447128295898, 'learning_rate': 4e-05, 'epoch': 0.0}
{'loss': 1.6299, 'grad_norm': 3.0067033767700195, 'learning_rate': 6e-05, 'epoch': 0.0}
{'loss': 0.4524, 'grad_norm': 0.29765987396240234, 'learning_rate': 8e-05, 'epoch': 0.0}
{'loss': 0.3266, 'grad_norm': 0.1781860738992691, 'learning_rate': 0.0001, 'epoch': 0.0}
{'loss': 0.2992, 'grad_norm': 0.18502797186374664, 'learning_rate': 0.00012, 'epoch': 0.01}
{'loss': 0.2803, 'grad_norm': 0.18195320665836334, 'learning_rate': 0.00014, 'epoch': 0.01}
{'loss': 0.2517, 'grad_norm': 0.33718910813331604, 'learning_rate': 0.00016, 'epoch': 0.01}
{'loss': 0.2521, 'grad_norm': 0.15755851566791534, 'learning_rate': 0.00018, 'epoch': 0.01}
{'loss': 0.2557, 'grad_norm': 0.18235211074352264, 'learning_rate': 0.000196, 'epoch': 0.01}
{'loss': 0.2421, 'grad_norm': 0.20999054610729218, 'learning_rate': 0.00019994793530962222, 'epoch': 0.01}
{'loss': 0.2326, 'grad_norm': 0.16388295590877533, 'learning_rate': 0.00019988285444664998, 'epoch': 0.01}
{'loss': 0.2203, 'grad_norm': 0.1516074240207672, 'learning_rate': 0.00019981777358367772, 'epoch': 0.01}
{'loss': 0.2185, 'grad_norm': 0.3028286099433899, 'learning_rate': 0.00019975269272070549, 'epoch': 0.01}
{'loss': 0.2146, 'grad_norm': 0.15651793777942657, 'learning_rate': 0.00019968761185773325, 'epoch': 0.01}
{'loss': 0.2073, 'grad_norm': 0.22297105193138123, 'learning_rate': 0.000199622530994761, 'epoch': 0.02}
{'loss': 0.1983, 'grad_norm': 0.3235257565975189, 'learning_rate': 0.00019955745013178875, 'epoch': 0.02}
{'loss': 0.1953, 'grad_norm': 0.15348555147647858, 'learning_rate': 0.00019949236926881651, 'epoch': 0.02}
{'loss': 0.1863, 'grad_norm': 0.18383771181106567, 'learning_rate': 0.00019942728840584428, 'epoch': 0.02}
{'loss': 0.1878, 'grad_norm': 0.27780282497406006, 'learning_rate': 0.00019936220754287201, 'epoch': 0.02}
{'loss': 0.1833, 'grad_norm': 0.16031388938426971, 'learning_rate': 0.0001992971266798998, 'epoch': 0.02}
{'loss': 0.1763, 'grad_norm': 0.14940044283866882, 'learning_rate': 0.00019923204581692754, 'epoch': 0.02}
{'loss': 0.1773, 'grad_norm': 0.3189428448677063, 'learning_rate': 0.0001991669649539553, 'epoch': 0.02}
{'loss': 0.1685, 'grad_norm': 0.19567535817623138, 'learning_rate': 0.00019910188409098304, 'epoch': 0.02}
{'loss': 0.1718, 'grad_norm': 0.18251793086528778, 'learning_rate': 0.0001990368032280108, 'epoch': 0.02}
{'loss': 0.1607, 'grad_norm': 0.19457459449768066, 'learning_rate': 0.00019897172236503857, 'epoch': 0.03}
{'loss': 0.1633, 'grad_norm': 0.33888983726501465, 'learning_rate': 0.00019890664150206633, 'epoch': 0.03}
{'loss': 0.1574, 'grad_norm': 0.338821679353714, 'learning_rate': 0.0001988415606390941, 'epoch': 0.03}
{'loss': 0.1615, 'grad_norm': 0.22446466982364655, 'learning_rate': 0.00019877647977612184, 'epoch': 0.03}
{'loss': 0.1533, 'grad_norm': 0.2137405276298523, 'learning_rate': 0.0001987113989131496, 'epoch': 0.03}
{'loss': 0.1463, 'grad_norm': 0.292399138212204, 'learning_rate': 0.00019864631805017734, 'epoch': 0.03}
{'loss': 0.1455, 'grad_norm': 0.25191792845726013, 'learning_rate': 0.00019858123718720513, 'epoch': 0.03}
