{'loss': 4.1053, 'grad_norm': 2.2173097133636475, 'learning_rate': 1.8e-05, 'epoch': 0.0}
{'loss': 3.9998, 'grad_norm': 0.8060662150382996, 'learning_rate': 3.8e-05, 'epoch': 0.0}
{'loss': 3.6337, 'grad_norm': 0.772846519947052, 'learning_rate': 5.8e-05, 'epoch': 0.0}
{'loss': 2.8076, 'grad_norm': 2.138396978378296, 'learning_rate': 7.800000000000001e-05, 'epoch': 0.0}
{'loss': 1.8388, 'grad_norm': 1.4577703475952148, 'learning_rate': 9.8e-05, 'epoch': 0.0}
{'loss': 0.9659, 'grad_norm': 0.7175039052963257, 'learning_rate': 0.000118, 'epoch': 0.01}
{'loss': 0.4811, 'grad_norm': 0.35245481133461, 'learning_rate': 0.000138, 'epoch': 0.01}
{'loss': 0.3381, 'grad_norm': 0.9015952348709106, 'learning_rate': 0.00015800000000000002, 'epoch': 0.01}
{'loss': 0.2637, 'grad_norm': 0.17894573509693146, 'learning_rate': 0.00017800000000000002, 'epoch': 0.01}
{'loss': 0.2122, 'grad_norm': 0.09033291786909103, 'learning_rate': 0.00019800000000000002, 'epoch': 0.01}
{'loss': 0.2072, 'grad_norm': 0.10912323743104935, 'learning_rate': 0.000199941427223325, 'epoch': 0.01}
{'loss': 0.2022, 'grad_norm': 0.08512304723262787, 'learning_rate': 0.00019987634636035276, 'epoch': 0.01}
{'loss': 0.2, 'grad_norm': 0.06774936616420746, 'learning_rate': 0.0001998112654973805, 'epoch': 0.01}
{'loss': 0.1928, 'grad_norm': 0.10033223032951355, 'learning_rate': 0.00019974618463440826, 'epoch': 0.01}
{'loss': 0.1979, 'grad_norm': 0.0789363756775856, 'learning_rate': 0.00019968110377143603, 'epoch': 0.01}
{'loss': 0.197, 'grad_norm': 0.22805605828762054, 'learning_rate': 0.00019961602290846376, 'epoch': 0.02}
{'loss': 0.1889, 'grad_norm': 0.07702314853668213, 'learning_rate': 0.00019955094204549155, 'epoch': 0.02}
{'loss': 0.1894, 'grad_norm': 0.12193986773490906, 'learning_rate': 0.0001994858611825193, 'epoch': 0.02}
{'loss': 0.1825, 'grad_norm': 0.12305766344070435, 'learning_rate': 0.00019942078031954705, 'epoch': 0.02}
{'loss': 0.1763, 'grad_norm': 0.1353730857372284, 'learning_rate': 0.0001993556994565748, 'epoch': 0.02}
{'loss': 0.1631, 'grad_norm': 0.17044390738010406, 'learning_rate': 0.00019929061859360255, 'epoch': 0.02}
{'loss': 0.1675, 'grad_norm': 0.18004506826400757, 'learning_rate': 0.00019922553773063032, 'epoch': 0.02}
{'loss': 0.1627, 'grad_norm': 0.2613784074783325, 'learning_rate': 0.00019916045686765808, 'epoch': 0.02}
{'loss': 0.1643, 'grad_norm': 0.22564657032489777, 'learning_rate': 0.00019909537600468585, 'epoch': 0.02}
{'loss': 0.1584, 'grad_norm': 0.136147141456604, 'learning_rate': 0.00019903029514171358, 'epoch': 0.02}
{'loss': 0.1484, 'grad_norm': 0.20407040417194366, 'learning_rate': 0.00019896521427874135, 'epoch': 0.03}
{'loss': 0.1516, 'grad_norm': 0.16887958347797394, 'learning_rate': 0.00019890013341576908, 'epoch': 0.03}
{'loss': 0.1536, 'grad_norm': 0.17670175433158875, 'learning_rate': 0.00019883505255279687, 'epoch': 0.03}
{'loss': 0.1487, 'grad_norm': 0.16200987994670868, 'learning_rate': 0.0001987699716898246, 'epoch': 0.03}
{'loss': 0.1441, 'grad_norm': 0.15698906779289246, 'learning_rate': 0.00019870489082685238, 'epoch': 0.03}
{'loss': 0.1474, 'grad_norm': 0.19712339341640472, 'learning_rate': 0.00019863980996388014, 'epoch': 0.03}
{'loss': 0.1409, 'grad_norm': 0.27181294560432434, 'learning_rate': 0.00019857472910090788, 'epoch': 0.03}
{'loss': 0.1405, 'grad_norm': 0.19901549816131592, 'learning_rate': 0.00019850964823793564, 'epoch': 0.03}
{'loss': 0.1362, 'grad_norm': 0.19546262919902802, 'learning_rate': 0.0001984445673749634, 'epoch': 0.03}
{'loss': 0.142, 'grad_norm': 0.9535136818885803, 'learning_rate': 0.00019837948651199117, 'epoch': 0.03}
{'loss': 0.135, 'grad_norm': 0.2462143898010254, 'learning_rate': 0.0001983144056490189, 'epoch': 0.04}
{'loss': 0.1368, 'grad_norm': 0.2304529845714569, 'learning_rate': 0.00019824932478604667, 'epoch': 0.04}
{'loss': 0.1416, 'grad_norm': 0.2250499278306961, 'learning_rate': 0.00019818424392307443, 'epoch': 0.04}
{'loss': 0.137, 'grad_norm': 0.20714716613292694, 'learning_rate': 0.0001981191630601022, 'epoch': 0.04}
{'loss': 0.1276, 'grad_norm': 0.2103424370288849, 'learning_rate': 0.00019805408219712996, 'epoch': 0.04}
{'loss': 0.1253, 'grad_norm': 0.2122066766023636, 'learning_rate': 0.0001979890013341577, 'epoch': 0.04}
{'loss': 0.1227, 'grad_norm': 0.19751106202602386, 'learning_rate': 0.00019792392047118546, 'epoch': 0.04}
{'loss': 0.1261, 'grad_norm': 0.3802032470703125, 'learning_rate': 0.0001978588396082132, 'epoch': 0.04}
{'loss': 0.1166, 'grad_norm': 0.1926420032978058, 'learning_rate': 0.000197793758745241, 'epoch': 0.04}
{'loss': 0.1201, 'grad_norm': 0.29814013838768005, 'learning_rate': 0.00019772867788226873, 'epoch': 0.04}
{'loss': 0.122, 'grad_norm': 0.21573378145694733, 'learning_rate': 0.0001976635970192965, 'epoch': 0.04}
{'loss': 0.1144, 'grad_norm': 0.24952197074890137, 'learning_rate': 0.00019759851615632423, 'epoch': 0.05}
{'loss': 0.1119, 'grad_norm': 0.22517067193984985, 'learning_rate': 0.000197533435293352, 'epoch': 0.05}
{'loss': 0.1134, 'grad_norm': 0.27997809648513794, 'learning_rate': 0.00019746835443037975, 'epoch': 0.05}
{'loss': 0.1112, 'grad_norm': 0.24243849515914917, 'learning_rate': 0.00019740327356740752, 'epoch': 0.05}
{'loss': 0.1087, 'grad_norm': 0.24938030540943146, 'learning_rate': 0.00019733819270443528, 'epoch': 0.05}
{'loss': 0.106, 'grad_norm': 0.24561868607997894, 'learning_rate': 0.00019727311184146302, 'epoch': 0.05}
{'loss': 0.1067, 'grad_norm': 0.30392226576805115, 'learning_rate': 0.00019720803097849078, 'epoch': 0.05}
{'loss': 0.1089, 'grad_norm': 0.29817596077919006, 'learning_rate': 0.00019714295011551852, 'epoch': 0.05}
{'loss': 0.1041, 'grad_norm': 0.2298745959997177, 'learning_rate': 0.0001970778692525463, 'epoch': 0.05}
{'loss': 0.1006, 'grad_norm': 0.3033747375011444, 'learning_rate': 0.00019701278838957407, 'epoch': 0.05}
{'loss': 0.1009, 'grad_norm': 0.3101007342338562, 'learning_rate': 0.0001969477075266018, 'epoch': 0.06}
{'loss': 0.1053, 'grad_norm': 0.19540926814079285, 'learning_rate': 0.00019688262666362957, 'epoch': 0.06}
{'loss': 0.0954, 'grad_norm': 0.22241272032260895, 'learning_rate': 0.0001968175458006573, 'epoch': 0.06}
